ID,Pokemon,Japanese,Species,Stats,Types,Resistances,Weaknesses,Images,Description,Abilities,Evolution
#192,Sunflora,Kimawari,Sun Pokémon,"['HP: 75', 'Attack: 75', 'Defense: 55', 'Sp.Atk: 105', 'Sp.Def: 85', 'Speed: 30', 'Total: 425']",Grass,"['Ground 0.5x', 'Grass 0.5x', 'Electric 0.5x', 'Water 0.5x']","['Flying 2x', 'Poison 2x', 'Bug 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/9/98/192Sunflora.png/250px-192Sunflora.png,"It converts sunlight into energy. In the darkness after sunset, it closes its petals and becomes still.","['Chlorophyll or Solar Power', 'Early Bird (Hidden Ability)']",
#193,Yanma,Yanyanma,Clear Wing Pokémon,"['HP: 65', 'Attack: 65', 'Defense: 45', 'Sp.Atk: 75', 'Sp.Def: 45', 'Speed: 95', 'Total: 390']",Bug/Flying,"['Fighting 0.25x', 'Bug 0.5x', 'Grass 0.25x']","['Flying 2x', 'Rock 4x', 'Electric 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/d/dd/193Yanma.png/250px-193Yanma.png,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.","['Speed Boost or Compound Eyes', 'Frisk (Hidden Ability)']",
#194,Wooper,Upah,Water Fish Pokémon,"['HP: 55', 'Attack: 45', 'Defense: 45', 'Sp.Atk: 25', 'Sp.Def: 25', 'Speed: 15', 'Total: 210']",Water/Ground,"['Poison 0.5x', 'Rock 0.5x', 'Steel 0.5x', 'Fire 0.5x']",['Grass 4x'],https://cdn.bulbagarden.net/upload/thumb/7/78/194Wooper.png/250px-194Wooper.png,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.,"['Damp or Water Absorb', 'Unaware (Hidden Ability)']",
#195,Quagsire,Nuoh,Water Fish Pokémon,"['HP: 95', 'Attack: 85', 'Defense: 85', 'Sp.Atk: 65', 'Sp.Def: 65', 'Speed: 35', 'Total: 430']",Water/Ground,"['Poison 0.5x', 'Rock 0.5x', 'Steel 0.5x', 'Fire 0.5x']",['Grass 4x'],https://cdn.bulbagarden.net/upload/thumb/a/a4/195Quagsire.png/250px-195Quagsire.png,"This carefree Pokémon has an easy-going nature. While swimming, it always bumps into boat hulls.","['Damp or Water Absorb', 'Unaware (Hidden Ability)']",
#196,Espeon,Eifie,Sun Pokémon,"['HP: 65', 'Attack: 65', 'Defense: 60', 'Sp.Atk: 130', 'Sp.Def: 95', 'Speed: 110', 'Total: 525']",Psychic,"['Fighting 0.5x', 'Psychic 0.5x']","['Bug 2x', 'Ghost 2x', 'Dark 2x']",https://cdn.bulbagarden.net/upload/thumb/a/a7/196Espeon.png/250px-196Espeon.png,It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.,"['Synchronize', 'Magic Bounce (Hidden Ability)']",
#197,Umbreon,Blacky,Moonlight Pokémon,"['HP: 95', 'Attack: 65', 'Defense: 110', 'Sp.Atk: 60', 'Sp.Def: 130', 'Speed: 65', 'Total: 525']",Dark,"['Ghost 0.5x', 'Dark 0.5x']","['Fighting 2x', 'Bug 2x', 'Fairy 2x']",https://cdn.bulbagarden.net/upload/thumb/3/3d/197Umbreon.png/250px-197Umbreon.png,"When agitated, this Pokémon protects itself by spraying poisonous sweat from its pores.","['Synchronize', 'Inner Focus (Hidden Ability)']",
#198,Murkrow,Yamikarasu,Darkness Pokémon,"['HP: 60', 'Attack: 85', 'Defense: 42', 'Sp.Atk: 85', 'Sp.Def: 42', 'Speed: 91', 'Total: 405']",Dark/Flying,"['Grass 0.5x', 'Ghost 0.5x', 'Dark 0.5x']","['Rock 2x', 'Electric 2x', 'Fairy 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/3/33/198Murkrow.png/250px-198Murkrow.png,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.","['Insomnia or Super Luck', 'Prankster (Hidden Ability)']",
#199,Slowking,Yadoking,Royal Pokémon,"['HP: 95', 'Attack: 75', 'Defense: 80', 'Sp.Atk: 100', 'Sp.Def: 110', 'Speed: 30', 'Total: 490']",Water/Psychic,"['Fighting 0.5x', 'Psychic 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Water 0.5x', 'Ice 0.5x']","['Bug 2x', 'Grass 2x', 'Electric 2x', 'Ghost 2x', 'Dark 2x']",https://cdn.bulbagarden.net/upload/thumb/e/e1/199Slowking.png/250px-199Slowking.png,"It has incredible intellect and intuition. Whatever the situation, it remains calm and collected.","['Oblivious or Own Tempo', 'Regenerator (Hidden Ability)']",
#200,Misdreavus,Muma,Screech Pokémon,"['HP: 60', 'Attack: 60', 'Defense: 60', 'Sp.Atk: 85', 'Sp.Def: 85', 'Speed: 85', 'Total: 435']",Ghost,"['Poison 0.5x', 'Bug 0.5x']","['Ghost 2x', 'Dark 2x']",https://cdn.bulbagarden.net/upload/thumb/b/be/200Misdreavus.png/250px-200Misdreavus.png,It likes playing mischievous tricks such as screaming and wailing to startle people at night.,['Levitate'],
#201,Unown,Unknown,Symbol Pokémon,"['HP: 48', 'Attack: 72', 'Defense: 48', 'Sp.Atk: 72', 'Sp.Def: 48', 'Speed: 48', 'Total: 336']",Psychic,"['Fighting 0.5x', 'Psychic 0.5x']","['Bug 2x', 'Ghost 2x', 'Dark 2x']",https://cdn.bulbagarden.net/upload/thumb/7/77/201Unown.png/250px-201Unown.png,Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.,['Levitate'],
#202,Wobbuffet,Sonans,Patient Pokémon,"['HP: 190', 'Attack: 33', 'Defense: 58', 'Sp.Atk: 33', 'Sp.Def: 58', 'Speed: 33', 'Total: 405']",Psychic,"['Fighting 0.5x', 'Psychic 0.5x']","['Bug 2x', 'Ghost 2x', 'Dark 2x']",https://cdn.bulbagarden.net/upload/thumb/1/17/202Wobbuffet.png/250px-202Wobbuffet.png,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike.","['Shadow Tag', 'Telepathy (Hidden Ability)']",
#203,Girafarig,Kirinriki,Long Neck Pokémon,"['HP: 70', 'Attack: 80', 'Defense: 65', 'Sp.Atk: 90', 'Sp.Def: 65', 'Speed: 85', 'Total: 455']",Normal/Psychic,['Psychic 0.5x'],"['Bug 2x', 'Dark 2x']",https://cdn.bulbagarden.net/upload/thumb/1/11/203Girafarig.png/250px-203Girafarig.png,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite.","['Inner Focus or Early Bird', 'Sap Sipper (Hidden Ability)']",
#204,Pineco,Kunugidama,Bagworm Pokémon,"['HP: 50', 'Attack: 65', 'Defense: 90', 'Sp.Atk: 35', 'Sp.Def: 35', 'Speed: 15', 'Total: 290']",Bug,"['Ground 0.5x', 'Fighting 0.5x', 'Grass 0.5x']","['Flying 2x', 'Rock 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/0/0b/204Pineco.png/250px-204Pineco.png,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.,"['Sturdy', 'Overcoat (Hidden Ability)']",
#205,Forretress,Foretos,Bagworm Pokémon,"['HP: 75', 'Attack: 90', 'Defense: 140', 'Sp.Atk: 60', 'Sp.Def: 60', 'Speed: 40', 'Total: 465']",Bug/Steel,"['Normal 0.5x', 'Dragon 0.5x', 'Bug 0.5x', 'Grass 0.25x', 'Fairy 0.5x', 'Psychic 0.5x', 'Steel 0.5x', 'Ice 0.5x']",['Fire 4x'],https://cdn.bulbagarden.net/upload/thumb/6/68/205Forretress.png/250px-205Forretress.png,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.,"['Sturdy', 'Overcoat (Hidden Ability)']",
#206,Dunsparce,Nokocchi,Land Snake Pokémon,"['HP: 100', 'Attack: 70', 'Defense: 70', 'Sp.Atk: 65', 'Sp.Def: 65', 'Speed: 45', 'Total: 415']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/2/20/206Dunsparce.png/250px-206Dunsparce.png,"When spotted, this Pokémon escapes backward by furiously boring into the ground with its tail.","['Serene Grace or Run Away', 'Rattled (Hidden Ability)']",
#207,Gligar,Gliger,Fly Scorpion Pokémon,"['HP: 65', 'Attack: 75', 'Defense: 105', 'Sp.Atk: 35', 'Sp.Def: 65', 'Speed: 85', 'Total: 430']",Ground/Flying,"['Poison 0.5x', 'Fighting 0.5x', 'Bug 0.5x']","['Water 2x', 'Ice 4x']",https://cdn.bulbagarden.net/upload/thumb/0/04/207Gligar.png/250px-207Gligar.png,It flies straight at its target's face then clamps down on the startled victim to inject poison.,"['Hyper Cutter or Sand Veil', 'Immunity (Hidden Ability)']",
#208,Steelix,Haganeil,Iron Snake Pokémon,"['HP: 75', 'Attack: 85', 'Defense: 200', 'Sp.Atk: 55', 'Sp.Def: 65', 'Speed: 30', 'Total: 510']",Steel/Ground,"['Normal 0.5x', 'Flying 0.5x', 'Rock 0.25x', 'Dragon 0.5x', 'Bug 0.5x', 'Fairy 0.5x', 'Psychic 0.5x', 'Steel 0.5x']","['Ground 2x', 'Fighting 2x', 'Fire 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/b/ba/208Steelix.png/250px-208Steelix.png,"Its body has been compressed deep under the ground. As a result, it is even harder than a diamond.","['Rock Head or Sturdy (Steelix)', 'Sheer Force (Hidden Ability)', 'Sand Force (Mega Steelix)']",
#209,Snubbull,Bull,Fairy Pokémon,"['HP: 60', 'Attack: 80', 'Defense: 50', 'Sp.Atk: 40', 'Sp.Def: 40', 'Speed: 30', 'Total: 300']",Fairy,"['Fighting 0.5x', 'Bug 0.5x', 'Dark 0.5x']","['Poison 2x', 'Steel 2x']",https://cdn.bulbagarden.net/upload/thumb/7/7f/209Snubbull.png/250px-209Snubbull.png,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women.","['Intimidate or Run Away', 'Rattled (Hidden Ability)']",
#210,Granbull,Granbull,Fairy Pokémon,"['HP: 90', 'Attack: 120', 'Defense: 75', 'Sp.Atk: 60', 'Sp.Def: 60', 'Speed: 45', 'Total: 450']",Fairy,"['Fighting 0.5x', 'Bug 0.5x', 'Dark 0.5x']","['Poison 2x', 'Steel 2x']",https://cdn.bulbagarden.net/upload/thumb/b/b1/210Granbull.png/250px-210Granbull.png,"It is actually timid and easily spooked. If attacked, it flails about to fend off its attacker.","['Intimidate or Quick Feet', 'Rattled (Hidden Ability)']",
#211,Qwilfish,Harysen,Balloon Pokémon,"['HP: 65', 'Attack: 95', 'Defense: 75', 'Sp.Atk: 55', 'Sp.Def: 55', 'Speed: 85', 'Total: 430']",Water/Poison,"['Poison 0.5x', 'Fighting 0.5x', 'Bug 0.5x', 'Fairy 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Water 0.5x', 'Ice 0.5x']","['Ground 2x', 'Electric 2x', 'Psychic 2x']",https://cdn.bulbagarden.net/upload/thumb/2/21/211Qwilfish.png/250px-211Qwilfish.png,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.","['Poison Point or Swift Swim', 'Intimidate (Hidden Ability)']",
#212,Scizor,Hassam,Pincer Pokémon,"['HP: 70', 'Attack: 130', 'Defense: 100', 'Sp.Atk: 55', 'Sp.Def: 80', 'Speed: 65', 'Total: 500']",Bug/Steel,"['Normal 0.5x', 'Dragon 0.5x', 'Bug 0.5x', 'Grass 0.25x', 'Fairy 0.5x', 'Psychic 0.5x', 'Steel 0.5x', 'Ice 0.5x']",['Fire 4x'],https://cdn.bulbagarden.net/upload/thumb/5/55/212Scizor.png/250px-212Scizor.png,It swings its eye-patterned pincers up to scare its foes. This makes it look like it has three heads.,"['Swarm or Technician (Scizor)', 'Light Metal (Hidden Ability)', 'Technician (Mega Scizor)']",
#213,Shuckle,Tsubotsubo,Mold Pokémon,"['HP: 20', 'Attack: 10', 'Defense: 230', 'Sp.Atk: 10', 'Sp.Def: 230', 'Speed: 5', 'Total: 505']",Bug/Rock,"['Normal 0.5x', 'Poison 0.5x']","['Rock 2x', 'Steel 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/c/c7/213Shuckle.png/250px-213Shuckle.png,The Berries it stores in its vase-like shell decompose and become a gooey liquid.,"['Sturdy or Gluttony', 'Contrary (Hidden Ability)']",
#214,Heracross,Heracros,Single Horn Pokémon,"['HP: 80', 'Attack: 125', 'Defense: 75', 'Sp.Atk: 40', 'Sp.Def: 95', 'Speed: 85', 'Total: 500']",Bug/Fighting,"['Ground 0.5x', 'Fighting 0.5x', 'Bug 0.5x', 'Grass 0.5x', 'Dark 0.5x']","['Flying 4x', 'Fairy 2x', 'Psychic 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/4/47/214Heracross.png/250px-214Heracross.png,This powerful Pokémon thrusts its prized horn under its enemies' bellies then lifts and throws them.,"['Swarm or Guts (Heracross)', 'Moxie (Hidden Ability)', 'Skill Link (Mega Heracross)']",
#215,Sneasel,Nyula,Sharp Claw Pokémon,"['HP: 55', 'Attack: 95', 'Defense: 55', 'Sp.Atk: 35', 'Sp.Def: 75', 'Speed: 115', 'Total: 430']",Dark/Ice,"['Ghost 0.5x', 'Ice 0.5x', 'Dark 0.5x']","['Rock 2x', 'Fighting 4x', 'Bug 2x', 'Fairy 2x', 'Steel 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/7/71/215Sneasel.png/250px-215Sneasel.png,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.","['Inner Focus or Keen Eye', 'Pickpocket (Hidden Ability)']",
#216,Teddiursa,Himeguma,Little Bear Pokémon,"['HP: 60', 'Attack: 80', 'Defense: 50', 'Sp.Atk: 50', 'Sp.Def: 50', 'Speed: 40', 'Total: 330']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/e/e9/216Teddiursa.png/250px-216Teddiursa.png,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey.","['Pickup or Quick Feet', 'Honey Gather (Hidden Ability)']",
#217,Ursaring,Ringuma,Hibernator Pokémon,"['HP: 90', 'Attack: 130', 'Defense: 75', 'Sp.Atk: 75', 'Sp.Def: 75', 'Speed: 55', 'Total: 500']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/e/e9/217Ursaring.png/250px-217Ursaring.png,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen Berries.","['Guts or Quick Feet', 'Unnerve (Hidden Ability)']",
#218,Slugma,Magmag,Lava Pokémon,"['HP: 40', 'Attack: 40', 'Defense: 40', 'Sp.Atk: 70', 'Sp.Def: 40', 'Speed: 20', 'Total: 250']",Fire,"['Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Ice 0.5x']","['Ground 2x', 'Rock 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/6/68/218Slugma.png/250px-218Slugma.png,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden.","['Magma Armor or Flame Body', 'Weak Armor (Hidden Ability)']",
#219,Magcargo,Magcargot,Lava Pokémon,"['HP: 50', 'Attack: 50', 'Defense: 120', 'Sp.Atk: 80', 'Sp.Def: 80', 'Speed: 30', 'Total: 410']",Fire/Rock,"['Normal 0.5x', 'Flying 0.5x', 'Poison 0.5x', 'Bug 0.5x', 'Fairy 0.5x', 'Fire 0.25x', 'Ice 0.5x']","['Ground 4x', 'Rock 2x', 'Fighting 2x', 'Water 4x']",https://cdn.bulbagarden.net/upload/thumb/6/65/219Magcargo.png/250px-219Magcargo.png,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.,"['Magma Armor or Flame Body', 'Weak Armor (Hidden Ability)']",
#220,Swinub,Urimoo,Pig Pokémon,"['HP: 50', 'Attack: 50', 'Defense: 40', 'Sp.Atk: 30', 'Sp.Def: 30', 'Speed: 50', 'Total: 250']",Ice/Ground,['Poison 0.5x'],"['Fighting 2x', 'Grass 2x', 'Steel 2x', 'Fire 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/b/b5/220Swinub.png/250px-220Swinub.png,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.,"['Oblivious or Snow Cloak', 'Thick Fat (Hidden Ability)']",
#221,Piloswine,Inomoo,Swine Pokémon,"['HP: 100', 'Attack: 100', 'Defense: 80', 'Sp.Atk: 60', 'Sp.Def: 60', 'Speed: 50', 'Total: 450']",Ice/Ground,['Poison 0.5x'],"['Fighting 2x', 'Grass 2x', 'Steel 2x', 'Fire 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/4/49/221Piloswine.png/250px-221Piloswine.png,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.","['Oblivious or Snow Cloak', 'Thick Fat (Hidden Ability)']",
#222,Corsola,Sunnygo,Coral Pokémon,"['HP: 55', 'Attack: 55', 'Defense: 85', 'Sp.Atk: 65', 'Sp.Def: 85', 'Speed: 35', 'Total: 380']",Water/Rock,"['Normal 0.5x', 'Flying 0.5x', 'Poison 0.5x', 'Fire 0.25x', 'Ice 0.5x']","['Ground 2x', 'Fighting 2x', 'Grass 4x', 'Electric 2x']",https://cdn.bulbagarden.net/upload/thumb/f/fc/222Corsola.png/250px-222Corsola.png,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.,"['Hustle or Natural Cure', 'Regenerator (Hidden Ability)']",
#223,Remoraid,Teppouo,Jet Pokémon,"['HP: 35', 'Attack: 65', 'Defense: 35', 'Sp.Atk: 65', 'Sp.Def: 35', 'Speed: 65', 'Total: 300']",Water,"['Steel 0.5x', 'Fire 0.5x', 'Water 0.5x', 'Ice 0.5x']","['Grass 2x', 'Electric 2x']",https://cdn.bulbagarden.net/upload/thumb/9/95/223Remoraid.png/250px-223Remoraid.png,It has superb accuracy. The water it shoots out can strike even moving prey from more than 300 feet.,"['Hustle or Sniper', 'Moody (Hidden Ability)']",
#224,Octillery,Okutank,Jet Pokémon,"['HP: 75', 'Attack: 105', 'Defense: 75', 'Sp.Atk: 105', 'Sp.Def: 75', 'Speed: 45', 'Total: 480']",Water,"['Steel 0.5x', 'Fire 0.5x', 'Water 0.5x', 'Ice 0.5x']","['Grass 2x', 'Electric 2x']",https://cdn.bulbagarden.net/upload/thumb/c/cb/224Octillery.png/250px-224Octillery.png,It traps enemies with its suction-cupped tentacles then smashes them with its rock-hard head.,"['Suction Cups or Sniper', 'Moody (Hidden Ability)']",
#225,Delibird,Delibird,Delivery Pokémon,"['HP: 45', 'Attack: 55', 'Defense: 45', 'Sp.Atk: 65', 'Sp.Def: 45', 'Speed: 75', 'Total: 330']",Ice/Flying,"['Bug 0.5x', 'Grass 0.5x']","['Rock 4x', 'Electric 2x', 'Steel 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/3/3f/225Delibird.png/250px-225Delibird.png,It carries food all day long. There are tales about lost people who were saved by the food it had.,"['Vital Spirit or Hustle', 'Insomnia (Hidden Ability)']",
#226,Mantine,Mantain,Kite Pokémon,"['HP: 65', 'Attack: 40', 'Defense: 70', 'Sp.Atk: 80', 'Sp.Def: 140', 'Speed: 70', 'Total: 465']",Water/Flying,"['Fighting 0.5x', 'Bug 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Water 0.5x']","['Rock 2x', 'Electric 4x']",https://cdn.bulbagarden.net/upload/thumb/c/c5/226Mantine.png/250px-226Mantine.png,"As it majestically swims, it doesn't care if Remoraid attach to it for scavenging its leftovers.","['Swift Swim or Water Absorb', 'Water Veil (Hidden Ability)']",
#227,Skarmory,Airmd,Armor Bird Pokémon,"['HP: 65', 'Attack: 80', 'Defense: 140', 'Sp.Atk: 40', 'Sp.Def: 70', 'Speed: 70', 'Total: 465']",Steel/Flying,"['Normal 0.5x', 'Flying 0.5x', 'Dragon 0.5x', 'Bug 0.25x', 'Grass 0.25x', 'Fairy 0.5x', 'Psychic 0.5x', 'Steel 0.5x']","['Electric 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/3/35/227Skarmory.png/250px-227Skarmory.png,"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky.","['Keen Eye or Sturdy', 'Weak Armor (Hidden Ability)']",
#228,Houndour,Delvil,Dark Pokémon,"['HP: 45', 'Attack: 60', 'Defense: 30', 'Sp.Atk: 80', 'Sp.Def: 50', 'Speed: 65', 'Total: 330']",Dark/Fire,"['Grass 0.5x', 'Ghost 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Ice 0.5x', 'Dark 0.5x']","['Ground 2x', 'Rock 2x', 'Fighting 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/5/53/228Houndour.png/250px-228Houndour.png,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.,"['Early Bird or Flash Fire', 'Unnerve (Hidden Ability)']",
#229,Houndoom,Hellgar,Dark Pokémon,"['HP: 75', 'Attack: 90', 'Defense: 50', 'Sp.Atk: 110', 'Sp.Def: 80', 'Speed: 95', 'Total: 500']",Dark/Fire,"['Grass 0.5x', 'Ghost 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Ice 0.5x', 'Dark 0.5x']","['Ground 2x', 'Rock 2x', 'Fighting 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/5/51/229Houndoom.png/250px-229Houndoom.png,"If you are burned by the flames it shoots from its mouth, the pain will never go away.","['Early Bird or Flash Fire (Houndoom)', 'Unnerve (Hidden Ability)', 'Solar Power (Mega Houndoom)']",
#230,Kingdra,Kingdra,Dragon Pokémon,"['HP: 75', 'Attack: 95', 'Defense: 95', 'Sp.Atk: 95', 'Sp.Def: 95', 'Speed: 85', 'Total: 540']",Water/Dragon,"['Steel 0.5x', 'Fire 0.25x', 'Water 0.25x']","['Dragon 2x', 'Fairy 2x']",https://cdn.bulbagarden.net/upload/thumb/3/3c/230Kingdra.png/250px-230Kingdra.png,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.,"['Swift Swim or Sniper', 'Damp (Hidden Ability)']",
#231,Phanpy,Gomazou,Long Nose Pokémon,"['HP: 90', 'Attack: 60', 'Defense: 60', 'Sp.Atk: 40', 'Sp.Def: 40', 'Speed: 40', 'Total: 330']",Ground,"['Poison 0.5x', 'Rock 0.5x']","['Grass 2x', 'Water 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/d/d3/231Phanpy.png/250px-231Phanpy.png,"It swings its long snout around playfully, but because it is so strong, that can be dangerous.","['Pickup', 'Sand Veil (Hidden Ability)']",
#232,Donphan,Donfan,Armor Pokémon,"['HP: 90', 'Attack: 120', 'Defense: 120', 'Sp.Atk: 60', 'Sp.Def: 60', 'Speed: 50', 'Total: 500']",Ground,"['Poison 0.5x', 'Rock 0.5x']","['Grass 2x', 'Water 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/5/53/232Donphan.png/250px-232Donphan.png,"It has sharp, hard tusks and a rugged hide. Its Tackle is strong enough to knock down a house.","['Sturdy', 'Sand Veil (Hidden Ability)']",
#233,Porygon2,Porygon2,Virtual Pokémon,"['HP: 85', 'Attack: 80', 'Defense: 90', 'Sp.Atk: 105', 'Sp.Def: 95', 'Speed: 60', 'Total: 515']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/9/99/233Porygon2.png/250px-233Porygon2.png,"This upgraded version of Porygon is designed for space exploration. It can't fly, though.","['Trace or Download', 'Analytic (Hidden Ability)']",
#234,Stantler,Odoshishi,Big Horn Pokémon,"['HP: 73', 'Attack: 95', 'Defense: 62', 'Sp.Atk: 85', 'Sp.Def: 65', 'Speed: 85', 'Total: 465']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/5/50/234Stantler.png/250px-234Stantler.png,The curved antlers subtly change the flow of air to create a strange space where reality is distorted.,"['Intimidate or Frisk', 'Sap Sipper (Hidden Ability)']",
#235,Smeargle,Doble,Painter Pokémon,"['HP: 55', 'Attack: 20', 'Defense: 35', 'Sp.Atk: 20', 'Sp.Def: 45', 'Speed: 75', 'Total: 250']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/9/92/235Smeargle.png/250px-235Smeargle.png,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.,"['Own Tempo or Technician', 'Moody (Hidden Ability)']",
#236,Tyrogue,Balkie,Scuffle Pokémon,"['HP: 35', 'Attack: 35', 'Defense: 35', 'Sp.Atk: 35', 'Sp.Def: 35', 'Speed: 35', 'Total: 210']",Fighting,"['Rock 0.5x', 'Bug 0.5x', 'Dark 0.5x']","['Flying 2x', 'Fairy 2x', 'Psychic 2x']",https://cdn.bulbagarden.net/upload/thumb/c/c7/236Tyrogue.png/250px-236Tyrogue.png,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.","['Guts or Steadfast', 'Vital Spirit (Hidden Ability)']",
#237,Hitmontop,Kapoerer,Handstand Pokémon,"['HP: 50', 'Attack: 95', 'Defense: 95', 'Sp.Atk: 35', 'Sp.Def: 110', 'Speed: 70', 'Total: 455']",Fighting,"['Rock 0.5x', 'Bug 0.5x', 'Dark 0.5x']","['Flying 2x', 'Fairy 2x', 'Psychic 2x']",https://cdn.bulbagarden.net/upload/thumb/9/94/237Hitmontop.png/250px-237Hitmontop.png,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard.","['Intimidate or Technician', 'Steadfast (Hidden Ability)']",
#238,Smoochum,Muchul,Kiss Pokémon,"['HP: 45', 'Attack: 30', 'Defense: 15', 'Sp.Atk: 85', 'Sp.Def: 65', 'Speed: 65', 'Total: 305']",Ice/Psychic,"['Psychic 0.5x', 'Ice 0.5x']","['Rock 2x', 'Bug 2x', 'Ghost 2x', 'Steel 2x', 'Fire 2x', 'Dark 2x']",https://cdn.bulbagarden.net/upload/thumb/0/0e/238Smoochum.png/250px-238Smoochum.png,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.,"['Oblivious or Forewarn', 'Hydration (Hidden Ability)']",
#239,Elekid,Elekid,Electric Pokémon,"['HP: 45', 'Attack: 63', 'Defense: 37', 'Sp.Atk: 65', 'Sp.Def: 55', 'Speed: 95', 'Total: 360']",Electric,"['Flying 0.5x', 'Electric 0.5x', 'Steel 0.5x']",['Ground 2x'],https://cdn.bulbagarden.net/upload/thumb/5/5d/239Elekid.png/250px-239Elekid.png,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit.","['Static', 'Vital Spirit (Hidden Ability)']",
#240,Magby,Buby,Live Coal Pokémon,"['HP: 45', 'Attack: 75', 'Defense: 37', 'Sp.Atk: 70', 'Sp.Def: 55', 'Speed: 83', 'Total: 365']",Fire,"['Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Ice 0.5x']","['Ground 2x', 'Rock 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/c/cb/240Magby.png/250px-240Magby.png,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils.","['Flame Body', 'Vital Spirit (Hidden Ability)']",
#241,Miltank,Miltank,Milk Cow Pokémon,"['HP: 95', 'Attack: 80', 'Defense: 105', 'Sp.Atk: 40', 'Sp.Def: 70', 'Speed: 100', 'Total: 490']",Normal,['None'],['Fighting 2x'],https://cdn.bulbagarden.net/upload/thumb/1/13/241Miltank.png/250px-241Miltank.png,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary.","['Thick Fat or Scrappy', 'Sap Sipper (Hidden Ability)']",
