Item,Category,Effect,Cost,Image
Red Scarf,General Items,Raises holder's Cool aspect in a Contest.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-scarf.png
Red Shard,General Items,A small red shard. It appears to be from some sort of implement made long ago.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-shard.png
Relic Band,General Items,"A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/relic-band.png
Relic Copper,General Items,"A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/relic-copper.png
Relic Crown,General Items,"A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/relic-crown.png
Relic Gold,General Items,"A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/relic-gold.png
Relic Silver,General Items,"A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/relic-silver.png
Relic Statue,General Items,"A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/relic-statue.png
Relic Vase,General Items,"A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/relic-vase.png
Repel,General Items,An item that prevents weak wild Pokémon from appearing for 100 steps after its use.,350,https://cdn.bulbagarden.net/upload/7/77/Dream_Repel_Sprite.png
Reveal Glass,General Items,A looking glass that reveals the truth. It's a mysterious glass that returns a Pokémon to its original shape.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/reveal-glass.png
Roller Skates,General Items,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/roller-skates.png
Root Fossil,General Items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.,1000,https://vignette.wikia.nocookie.net/nintendo/images/7/7d/Root_Fossil.png/revision/latest?cb=20111019151125&path-prefix=en
Shiny Charm,General Items,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shiny-charm.png
Shiny Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It shines with a dazzling light.,2100,https://cdn.bulbagarden.net/upload/f/f4/Dream_Shiny_Stone_Sprite.png
Shoal Salt,General Items,Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shoal-salt.png
Shoal Shell,General Items,A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shoal-shell.png
Skull Fossil,General Items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.,1000,https://vignette.wikia.nocookie.net/nintendo/images/d/de/Skull_Fossil.png/revision/latest?cb=20111019151125&path-prefix=en
Sprinklotad,General Items,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sprinklotad.png
Stable Mulch,General Items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/stable-mulch.png
Star Piece,General Items,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.,9800,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/star-piece.png
Stardust,General Items,"Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops.",2000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/stardust.png
Sun Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It is as red as the sun.,2100,https://cdn.bulbagarden.net/upload/a/a4/Dream_Sun_Stone_Sprite.png
Super Repel,General Items,An item that prevents weak wild Pokémon from appearing for 200 steps after its use.,500,https://cdn.bulbagarden.net/upload/d/df/Dream_Super_Repel_Sprite.png
Thunder Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It has a thunderbolt pattern.,2100/10000/3000,https://cdn.bulbagarden.net/upload/a/a5/Dream_Thunder_Stone_Sprite.png
Tiny Mushroom,General Items,A small and rare mushroom. It is sought after by collectors.,500/3000,https://cdn.bulbagarden.net/upload/d/d7/Dream_Tiny_Mushroom_Sprite.png
TMV Pass,General Items,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tmv-pass.png
Up Grade,General Items,A transparent device filled with all sorts of data. It was produced by Silph Co.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/up-grade.png
Water Stone,General Items,"A peculiar stone that makes certain species of Pokémon evolve. It is a clear, light blue.",2100,https://cdn.bulbagarden.net/upload/2/29/Dream_Water_Stone_Sprite.png
White Flute,General Items,A toy flute made from white glass. A maniac will buy it for a high price.,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/white-flute.png
White Apricorn,General Items,A white Apricorn. It doesn't smell like anything.,Cannot be purchased,http://orig11.deviantart.net/d304/f/2013/009/5/e/dream_world_sprite_like_apricorn_vectors_by_ldejruff-d5qjrq3.png
Yellow Flute,General Items,A toy flute made from yellow glass. A maniac will buy it for a high price.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-flute.png
Yellow Scarf,General Items,Raises holder's Tough aspect in a Contest.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-scarf.png
Yellow Shard,General Items,A small yellow shard. It appears to be from some sort of implement made long ago.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-shard.png
Yellow Apricorn,General Items,A yellow Apricorn. It has an invigorating scent.,Cannot be purchased,http://orig11.deviantart.net/d304/f/2013/009/5/e/dream_world_sprite_like_apricorn_vectors_by_ldejruff-d5qjrq3.png
Ability Capsule,Hold Items,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ability-capsule.png
Abomasite,Hold Items,Enables Abomasnow to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/abomasite.png
Absolite,Hold Items,Enables Absol to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/absolite.png
Absorb Bulb,Hold Items,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/absorb-bulb.png
Adamant Orb,Hold Items,Increases the power of Dragon- and Steel-type moves when held by Dialga.,10000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/adamant-orb.png
Aerodactylite,Hold Items,Enables Aerodactyl to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aerodactylite.png
Aggronite,Hold Items,Enables Aggron to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/aggronite.png
Air Balloon,Hold Items,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/air-balloon.png
Alakazite,Hold Items,Enables Alakazam to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/alakazite.png
Ampharosite,Hold Items,Enables Ampharos to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ampharosite.png
Amulet Coin,Hold Items,An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/amulet-coin.png
Banettite,Hold Items,Enables Banette to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/banettite.png
Big Root,Hold Items,Recovers more HP from HP-stealing moves.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-root.png
Binding Band,Hold Items,A band that increases the power of binding moves when held.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/binding-band.png
Black Belt,Hold Items,Increases the power of Fighting-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-belt.png
Black Sludge,Hold Items,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-sludge.png
Black Glasses,Hold Items,Increases the power of Dark-type moves. Dark-Type moves from holder do 20% more damage.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-glasses.png
Blastoisinite,Hold Items,Enables Blastoise to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blastoisinite.png
Blazikenite,Hold Items,Enables Blaziken to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blazikenite.png
Bright Powder,Hold Items,Lowers the opponent's accuracy.,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bright-powder.png
Bug Gem,Hold Items,Increases the power of a Bug-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bug-gem.png
Burn Drive,Hold Items,Changes Techno Blast to a Fire-type move when held by Genesect.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/burn-drive.png
Cell Battery,Hold Items,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/cell-battery.png
Charcoal,Hold Items,Increases the power of Fire-type moves.,9800,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/charcoal.png
Charizardite X,Hold Items,Enables Charizard to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/charizardite-x.png
Charizardite Y,Hold Items,Enables Charizard to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/charizardite-y.png
Chill Drive,Hold Items,Changes Techno Blast to an Ice-type move when held by Genesect.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/chill-drive.png
Choice Band,Hold Items,"Raises Attack, but only one move can be used.",100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/choice-band.png
Choice Scarf,Hold Items,"Raises Speed, but only one move can be used.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/choice-scarf.png
Choice Specs,Hold Items,"Raises Special Attack, but only one move can be used.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/choice-specs.png
Cleanse Tag,Hold Items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/cleanse-tag.png
Colress Machine,Hold Items,A special device that wrings out the potential of Pokémon. It is an imperfect prototype.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/colress-machine.png
Damp Rock,Hold Items,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/damp-rock.png
Dark Gem,Hold Items,Increases the power of a Dark-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dark-gem.png
Deep Sea Scale,Hold Items,Increases Special Defense when held by Clamperl.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/deep-sea-scale.png
Deep Sea Tooth,Hold Items,Increases Special Attack when held by Clamperl.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/deep-sea-tooth.png
Destiny Knot,Hold Items,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/destiny-knot.png
Douse Drive,Hold Items,Changes Techno Blast to a Water-type move when held by Genesect.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/douse-drive.png
Draco Plate,Hold Items,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/draco-plate.png
Dragon Fang,Hold Items,Increases the power of Dragon-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dragon-fang.png
Dragon Gem,Hold Items,Increases the power of a Dragon-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dragon-gem.png
Dread Plate,Hold Items,Increases power of Dark-type moves. Changes Arceus' type to Dark.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dread-plate.png
Dropped Item,Hold Items,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dropped-item.png
Earth Plate,Hold Items,Increases power of Ground-type moves. Changes Arceus' type to Ground.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/earth-plate.png
Eject Button,Hold Items,"If the holder is hit by an attack, it will switch with another Pokémon in your party.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/eject-button.png
Electric Gem,Hold Items,Increases the power of an Electric-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/electric-gem.png
Elevator Key,Hold Items,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/elevator-key.png
Everstone,Hold Items,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.,200,https://cdn.bulbagarden.net/upload/6/60/Dream_Everstone_Sprite.png
Eviolite,Hold Items,"A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/eviolite.png
Exp Share,Hold Items,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/exp-share.png
Expert Belt,Hold Items,Increases the power of super-effective moves.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/expert-belt.png
Fighting Gem,Hold Items,Increases the power of a Fighting-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fighting-gem.png
Fire Gem,Hold Items,Increases the power of a Fire-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fire-gem.png
Fist Plate,Hold Items,Increases power of Fighting-type moves. Changes Arceus' type to Fighting.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fist-plate.png
Flame Orb,Hold Items,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/flame-orb.png
Flame Plate,Hold Items,Increases power of Fire-type moves. Changes Arceus' type to Fire.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/flame-plate.png
Float Stone,Hold Items,A very light stone. It reduces the weight of a Pokémon when held.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/float-stone.png
Flying Gem,Hold Items,Increases the power of a Flying-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/flying-gem.png
Focus Band,Hold Items,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/focus-band.png
Focus Sash,Hold Items,"An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/focus-sash.png
Full Incense,Hold Items,An item to be held by a Pokémon. It is an exotic-smelling incense that makes the holder bloated and slow moving.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-incense.png
Garchompite,Hold Items,Enables Garchomp to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/garchompite.png
Gardevoirite,Hold Items,Enables Gardevoir to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gardevoirite.png
Gengarite,Hold Items,Enables Gengar to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gengarite.png
Ghost Gem,Hold Items,Increases the power of a Ghost-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ghost-gem.png
Grass Gem,Hold Items,Increases the power of a Grass-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/grass-gem.png
Grip Claw,Hold Items,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/grip-claw.png
Griseous Orb,Hold Items,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.",10000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/griseous-orb.png
Ground Gem,Hold Items,Increases the power of a Ground-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ground-gem.png
Grubby Hanky,Hold Items,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/grubby-hanky.png
Gyaradosite,Hold Items,Enables Gyarados to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gyaradosite.png
Hard Stone,Hold Items,Increases the power of Rock-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hard-stone.png
Heat Rock,Hold Items,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heat-rock.png
Heracronite,Hold Items,Enables Heracross to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heracronite.png
Honor Of Kalos,Hold Items,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/honor-of-kalos.png
Houndoominite,Hold Items,Enables Houndoom to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/houndoominite.png
Ice Gem,Hold Items,Increases the power of an Ice-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ice-gem.png
Icicle Plate,Hold Items,Increases power of Ice-type moves. Changes Arceus' type to Ice.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/icicle-plate.png
Icy Rock,Hold Items,A Pokémon held item that extends the duration of the move Hail used by the holder.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/icy-rock.png
Insect Plate,Hold Items,Increases power of Bug-type moves. Changes Arceus' type to Bug.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/insect-plate.png
Intriguing Stone,Hold Items,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/intriguing-stone.png
Iron Ball,Hold Items,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/iron-ball.png
Iron Plate,Hold Items,Increases power of Steel-type moves. Changes Arceus' type to Steel.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/iron-plate.png
Kangaskhanite,Hold Items,Enables Kangaskhan to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/kangaskhanite.png
King's Rock,Hold Items,"An item to be held by a Pokémon. When the holder inflicts damage, the target may flinch.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/kings-rock.png
Lagging Tail,Hold Items,An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lagging-tail.png
Lax Incense,Hold Items,An item to be held by a Pokémon. The tricky aroma of this incense may make attacks miss the holder.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lax-incense.png
Leftovers,Hold Items,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/leftovers.png
Life Orb,Hold Items,"Increases the power of moves, but loses HP each turn.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/life-orb.png
Light Ball,Hold Items,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/light-ball.png
Light Clay,Hold Items,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/light-clay.png
Looker Ticket,Hold Items,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/looker-ticket.png
Lucarionite,Hold Items,Enables Lucario to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lucarionite.png
Luck Incense,Hold Items,An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/luck-incense.png
Lucky Egg,Hold Items,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.,200,https://cdn.bulbagarden.net/upload/0/00/Dream_Lucky_Egg_Sprite.png
Lucky Punch,Hold Items,Increases critical-hit ratio when held by Chansey.,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lucky-punch.png
Lustrous Orb,Hold Items,Increases the power of Dragon- and Water-type moves when held by Palkia.,10000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lustrous-orb.png
Macho Brace,Hold Items,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/macho-brace.png
Magnet,Hold Items,Increases the power of Electric-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/magnet.png
Manectite,Hold Items,Enables Manectric to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/manectite.png
Mawilite,Hold Items,Enables Mawile to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mawilite.png
Meadow Plate,Hold Items,Increases power of Grass-type moves. Changes Arceus' type to Grass.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/meadow-plate.png
Medichamite,Hold Items,Enables Medicham to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/medichamite.png
Mental Herb,Hold Items,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mental-herb.png
Metal Coat,Hold Items,Increases the power of Steel-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/metal-coat.png
Metal Powder,Hold Items,Increases Defense when held by Ditto.,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/metal-powder.png
Metronome,Hold Items,Increases the power of moves used consecutively.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/metronome.png
Mewtwonite X,Hold Items,Enables Mewtwo to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mewtwonite-x.png
Mewtwonite Y,Hold Items,Enables Mewtwo to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mewtwonite-y.png
Mind Plate,Hold Items,Increases power of Psychic-type moves. Changes Arceus' type to Psychic.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mind-plate.png
Miracle Seed,Hold Items,Increases the power of Grass-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/miracle-seed.png
Muscle Band,Hold Items,Increases the power of Physical-category moves.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/muscle-band.png
Mystic Water,Hold Items,Increases the power of Water-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mystic-water.png
Never Melt Ice,Hold Items,Increases the power of Ice-type moves by 20%.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/never-melt-ice.png
Normal Gem,Hold Items,Increases the power of a Normal-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/normal-gem.png
Odd Incense,Hold Items,Increases the power of Psychic-type moves.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/odd-incense.png
Pass Orb,Hold Items,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pass-orb.png
Pinsirite,Hold Items,Enables Pinsir to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pinsirite.png
Pixie Plate,Hold Items,Increases power of Fairy-type moves. Changes Arceus' type to Fairy.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pixie-plate.png
Plasma Card,Hold Items,A card key needed to enter the password inside the Plasma Frigate.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/plasma-card.png
Poison Barb,Hold Items,Increases the power of Poison-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poison-barb.png
Poison Gem,Hold Items,Increases the power of a Poison-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poison-gem.png
Power Anklet,Hold Items,"A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.",3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/power-anklet.png
Power Band,Hold Items,"A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.",3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/power-band.png
Power Belt,Hold Items,"A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.",3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/power-belt.png
Power Bracer,Hold Items,"A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.",3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/power-bracer.png
Power Herb,Hold Items,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/power-herb.png
